Drug Name,ATC 1st Level
Allegra,R - Respiratory system
4 cycles(Iparomlimab and Tuvonralimab,
opicapone 50 MG,N - Nervous system
chlordiazepoxide,N - Nervous system
chlordiazepoxide,A - Alimentary tract and metabolism
Fludarabine + Cyclophosphamide + CD7-specific CAR-T Cells,L - Antineoplastic and immunomodulating agents
methazolamide 50 MG,S - Sensory organs
befotertinib,
Betadine,S - Sensory organs
Betadine,D - Dermatologicals
Betadine,G - Genito urinary system and sex hormones
Betadine,R - Respiratory system
All kinds of conventional medications,
4 cycles of Serplulimab combined with etoposide and carboplatin or cisplatin,
opicapone,N - Nervous system
chlorcyclizine,R - Respiratory system
Fludarabine (Fludara),L - Antineoplastic and immunomodulating agents
methazolamide,S - Sensory organs
beets preparation,
Beta-blocker treatment group,
All kinds of INSTI medications,
30 mCi NYMO32,
open flap debridement and Hyaluronic Acid-Based Gel application,
chloramphenicol,S - Sensory organs
chloramphenicol,D - Dermatologicals
chloramphenicol,G - Genito urinary system and sex hormones
chloramphenicol,J - Antiinfectives for systemic use
Fludarabine (Flud),L - Antineoplastic and immunomodulating agents
methanol,
beeswax,
Beta vulgaris extract,
Alinia,"P - Antiparasitic products, insecticides and repellents"
3.1%,N - Nervous system
onion extract,
chlorambucil,L - Antineoplastic and immunomodulating agents
Fludarabine (FLU),L - Antineoplastic and immunomodulating agents
methanesulfonic acid,
beef allergenic extract,V - Various
Beta blocker tapering out,
Alimta,L - Antineoplastic and immunomodulating agents
3-O-ethyl ascorbic acid,
ondansetron hydrochloride,A - Alimentary tract and metabolism
chitosan-coated silver nanoparticles,
Fludarabine (Conditional therapy),L - Antineoplastic and immunomodulating agents
methamphetamine hydrochloride,N - Nervous system
bee pollen,
"Beta Blocker (BB) - metoprolol, bisoprolol, carvedilol",
Alhemo,B - Blood and blood forming organs
3-6mg QLM1016,
ondansetron 8 MG,A - Alimentary tract and metabolism
chitosan nano-particles,
Fludarabine,L - Antineoplastic and immunomodulating agents
methamphetamine,N - Nervous system
bedaquiline fumarate,J - Antiinfectives for systemic use
Beta Blocker,
Alendronate (Fosamax),M - Musculo-skeletal system
"3-4 cycles of Tislelizumab combined with platinum-based chemotherapy, evaluated by MDT and assigned to treatment strategies based on eligibility and patient preference.",
ondansetron 4 MG,A - Alimentary tract and metabolism
chimeric antigen receptor gene modified T cells,
Fluciclovine F18,
methadone hydrochloride Oral Solution,N - Nervous system
bedaquiline,J - Antiinfectives for systemic use
Best medical care,D - Dermatologicals
Best medical care,R - Respiratory system
Aleeto,
3-(triethoxysilyl)propylamine,
ondansetron,A - Alimentary tract and metabolism
chidamide and golidocitinib,
FluBHPVE6E7,
methadone hydrochloride,N - Nervous system
beclomethasone dipropionate,D - Dermatologicals
beclomethasone dipropionate,A - Alimentary tract and metabolism
beclomethasone dipropionate,R - Respiratory system
Best Medical Treatment Alone,
Aldurazyme,A - Alimentary tract and metabolism
"3,3'-diindolylmethane",
onasemnogene abeparvovec-xioi,M - Musculo-skeletal system
chicory root extract,
Flu mRNA (Formulation B),J - Antiinfectives for systemic use
methadone,N - Nervous system
beclomethasone,D - Dermatologicals
beclomethasone,A - Alimentary tract and metabolism
beclomethasone,R - Respiratory system
Best Medical Treatment,
Aldara,D - Dermatologicals
3% plain mepivacaine HCL,N - Nervous system
onasemnogene abeparvovec,M - Musculo-skeletal system
chicken allergenic extract,V - Various
Flu mRNA (Formulation A),
methacholine,M - Musculo-skeletal system
methacholine,V - Various
bazedoxifene 20 MG,G - Genito urinary system and sex hormones
Berinert,B - Blood and blood forming organs
Alcoholic beverage,
3% NaCl,B - Blood and blood forming organs
3% NaCl,A - Alimentary tract and metabolism
onabotulinumtoxinA Injection,M - Musculo-skeletal system
chia seed oil,
Floxin,S - Sensory organs
Floxin,J - Antiinfectives for systemic use
metformin hydrochloride 850 MG,A - Alimentary tract and metabolism
bazedoxifene,G - Genito urinary system and sex hormones
Berberis aristata fruit extract,
Albuterol Sulfate,R - Respiratory system
3% Diquafosol Sodium Eye Drops,S - Sensory organs
3% Diquafosol Sodium Eye Drops,D - Dermatologicals
onabotulinumtoxinA,M - Musculo-skeletal system
chenodeoxycholic acid,A - Alimentary tract and metabolism
Flotufolastat F-18 Injection,V - Various
metformin hydrochloride 500 MG,A - Alimentary tract and metabolism
basiliximab,L - Antineoplastic and immunomodulating agents
Berberine hydrochloride,
Albumin-paclitaxel Injection,L - Antineoplastic and immunomodulating agents
3 doses of vaccine Quadrivalent Recombinant Human Papillomavirus Vaccine (Hansenulapolymorpha),
onabotulinum toxin type a,M - Musculo-skeletal system
chenodeoxycholate,A - Alimentary tract and metabolism
Flotufolastat F-18 Gallium,
metformin hydrochloride,A - Alimentary tract and metabolism
basil oil,
Berberine,
Albumin-bound Paclitaxel + Tegafur Gimeracil Oteracil (S-1) + Anlotinib,L - Antineoplastic and immunomodulating agents
3 cycles（DCF）,
omidubicel-onlv,
chemotherapy with gemcitabine and oxaliplatin,L - Antineoplastic and immunomodulating agents
Flotufolastat F,V - Various
metformin Extended Release Oral Tablet,A - Alimentary tract and metabolism
basil allergenic extract,
Beqvez,B - Blood and blood forming organs
Albumin-Bound Paclitaxel,L - Antineoplastic and immunomodulating agents
3 cycles (Toripalimab + chemotherapy),L - Antineoplastic and immunomodulating agents
omidubicel,
chemotherapy regimen selected by the investigator,
Flotufolastat (18F),V - Various
metformin / sitagliptin,A - Alimentary tract and metabolism
"basic medications (antihistamines, mometasone furoate nasal spray, ICS-LABA",
Beovu,S - Sensory organs
Albumin infusion (25% albumin),
250mg FHND1002,
omidenepag isopropyl Ophthalmic Solution,S - Sensory organs
chemotherapy,
Flortaucipir F-18,V - Various
metformin / saxagliptin,A - Alimentary tract and metabolism
basic fuchsin,
Benzydamine Hydrochloride,M - Musculo-skeletal system
Benzydamine Hydrochloride,G - Genito urinary system and sex hormones
Benzydamine Hydrochloride,A - Alimentary tract and metabolism
Benzydamine Hydrochloride,R - Respiratory system
Albumin Paclitaxel,L - Antineoplastic and immunomodulating agents
23-valent Pneumococcal Polysaccharide Vaccine (PPV23),J - Antiinfectives for systemic use
omidenepag isopropyl 0.02 MG/ML Ophthalmic Solution,S - Sensory organs
chamomile extract,
Florastamin[18F] Injection,
metformin / rosiglitazone,A - Alimentary tract and metabolism
barley grain,
Benzocaine Gel applied to the cervix,R - Respiratory system
Benzocaine Gel applied to the cervix,D - Dermatologicals
Benzocaine Gel applied to the cervix,N - Nervous system
Benzocaine Gel applied to the cervix,C - Cardiovascular system
Albumin,
omidenepag,S - Sensory organs
cevimeline,N - Nervous system
Flonase Sensimist,D - Dermatologicals
Flonase Sensimist,R - Respiratory system
metformin / pioglitazone,A - Alimentary tract and metabolism
barley allergenic extract,V - Various
Benzathine penicillin,S - Sensory organs
Benzathine penicillin,J - Antiinfectives for systemic use
Ala-Scalp,S - Sensory organs
Ala-Scalp,D - Dermatologicals
Ala-Scalp,C - Cardiovascular system
Ala-Scalp,A - Alimentary tract and metabolism
Ala-Scalp,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
omeprazole sodium,A - Alimentary tract and metabolism
cetylpyridinium chloride Mouthwash,A - Alimentary tract and metabolism
Flonase,D - Dermatologicals
Flonase,R - Respiratory system
metformin,A - Alimentary tract and metabolism
barium sulfate,
Benzathine Penicillin G,S - Sensory organs
Benzathine Penicillin G,J - Antiinfectives for systemic use
Agomelatine,
omeprazole magnesium,A - Alimentary tract and metabolism
cetylpyridinium chloride,D - Dermatologicals
cetylpyridinium chloride,A - Alimentary tract and metabolism
cetylpyridinium chloride,B - Blood and blood forming organs
cetylpyridinium chloride,R - Respiratory system
Flomax,G - Genito urinary system and sex hormones
metamizole sodium,N - Nervous system
baricitinib 4 MG,L - Antineoplastic and immunomodulating agents
Benzathine Penicillin,S - Sensory organs
Benzathine Penicillin,J - Antiinfectives for systemic use
Aggrastat,B - Blood and blood forming organs
omeprazole 40 MG,B - Blood and blood forming organs
omeprazole 40 MG,A - Alimentary tract and metabolism
cetylpyridinium,D - Dermatologicals
cetylpyridinium,A - Alimentary tract and metabolism
cetylpyridinium,B - Blood and blood forming organs
cetylpyridinium,R - Respiratory system
Flexlamose,
metacresol,
baricitinib 2 MG,L - Antineoplastic and immunomodulating agents
Benmelstobart+ Paclitaxel + Carboplatin+ Radiotherapy,L - Antineoplastic and immunomodulating agents
Afobazole,
omeprazole 20 MG,J - Antiinfectives for systemic use
omeprazole 20 MG,A - Alimentary tract and metabolism
cetyl palmitate,
Flector,S - Sensory organs
Flector,M - Musculo-skeletal system
Flector,D - Dermatologicals
mesna,V - Various
mesna,R - Respiratory system
baricitinib 1 MG,L - Antineoplastic and immunomodulating agents
Benmelstobart,
"Aflibercept (Eylea, BAY86-5321)",L - Antineoplastic and immunomodulating agents
"Aflibercept (Eylea, BAY86-5321)",S - Sensory organs
omeprazole 10 MG,A - Alimentary tract and metabolism
cetyl alcohol,
Flecainide (monotherapy),C - Cardiovascular system
mesenchymal stem cells with OCN-19,
baricitinib,L - Antineoplastic and immunomodulating agents
Benlysta,L - Antineoplastic and immunomodulating agents
"Aflibercept (BAY86-5321, Eylea)",L - Antineoplastic and immunomodulating agents
"Aflibercept (BAY86-5321, Eylea)",S - Sensory organs
omeprazole,J - Antiinfectives for systemic use
omeprazole,A - Alimentary tract and metabolism
omeprazole,B - Blood and blood forming organs
cetuximab,L - Antineoplastic and immunomodulating agents
Flanders,D - Dermatologicals
mesalamine 250 MG,A - Alimentary tract and metabolism
banana allergenic extract,V - Various
Benidipine Hydrochloride,
Aflibercept (2.0 mg),L - Antineoplastic and immunomodulating agents
Aflibercept (2.0 mg),S - Sensory organs
omega-3 fatty acids,
cetrorelix acetate,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Flac,S - Sensory organs
Flac,D - Dermatologicals
Flac,C - Cardiovascular system
mesalamine,A - Alimentary tract and metabolism
bamlanivimab,
BeneFIX,B - Blood and blood forming organs
Aflibercept,L - Antineoplastic and immunomodulating agents
Aflibercept,S - Sensory organs
omega-3 acid ethyl esters (USP),A - Alimentary tract and metabolism
omega-3 acid ethyl esters (USP),C - Cardiovascular system
cetrorelix,"H - Systemic hormonal preparations, excluding sex hormones and insulins"
Fixed-dose combination of SGLT2 inhibitor and thiazolidinedione,
meropenem 1000 MG,J - Antiinfectives for systemic use
balsalazide disodium,A - Alimentary tract and metabolism
Benadryl,D - Dermatologicals
Benadryl,R - Respiratory system
Afinitor,L - Antineoplastic and immunomodulating agents
225Ac-SSO110 + SoC,
ombitasvir / paritaprevir / ritonavir,J - Antiinfectives for systemic use
cetirizine,S - Sensory organs
cetirizine,R - Respiratory system
Fisetin,
meropenem / vaborbactam,J - Antiinfectives for systemic use
balsalazide,A - Alimentary tract and metabolism
Bemosuzumab,
Afimkibart,
225Ac-LNC1011,
ombitasvir,J - Antiinfectives for systemic use
cetearyl alcohol,
First-line Immunotherapy Combined with Chemoradiotherapy for ES-SCLC,
meropenem,J - Antiinfectives for systemic use
baloxavir marboxil,J - Antiinfectives for systemic use
Bemarituzumab,
Afatinib(RP2D),L - Antineoplastic and immunomodulating agents
omaveloxolone,N - Nervous system
cesium chloride,
Firmonertinib combined with Carboplatin/Cisplatin and Pemetrexed,L - Antineoplastic and immunomodulating agents
mercaptopurine,L - Antineoplastic and immunomodulating agents
baloxavir,
Belimumab+SOC,L - Antineoplastic and immunomodulating agents
Afatinib(40mg),L - Antineoplastic and immunomodulating agents
225Ac-ETN029,
omalizumab Injection,R - Respiratory system
certolizumab pegol,L - Antineoplastic and immunomodulating agents
Firmonertinib Mesilate Tablets,N - Nervous system
meprobamate,N - Nervous system
bakuchiol,
Belbuca,N - Nervous system
Afatinib(30mg),L - Antineoplastic and immunomodulating agents
200mg FHND1002(postprandial),
omalizumab,R - Respiratory system
certepetide,
Firmonertinib,
mepolizumab 100 MG,R - Respiratory system
baclofen 5 MG,M - Musculo-skeletal system
Befotertinib combined platinum-based double chemotherapy,
Afatinib plus chemotherapy as conversion treatment,L - Antineoplastic and immunomodulating agents
200 mg FHND1002（fasting）,
omadacycline 100 MG,J - Antiinfectives for systemic use
cerliponase,A - Alimentary tract and metabolism
Firdapse,N - Nervous system
mepolizumab,R - Respiratory system
baclofen 2 MG/ML,M - Musculo-skeletal system
Befotertinib combined Bevacizumab,L - Antineoplastic and immunomodulating agents
Befotertinib combined Bevacizumab,S - Sensory organs
Afatinib Dimaleat,L - Antineoplastic and immunomodulating agents
200 mCi NYMO32,
omadacycline,J - Antiinfectives for systemic use
ceritinib,L - Antineoplastic and immunomodulating agents
Finotonlimab (an anti-PD-1 monoclonal antibody) and Anbeizhu (a bevacizumab biosimilar),
mepivacaine hydrochloride,N - Nervous system
baclofen 10 MG,M - Musculo-skeletal system
Bedaquiline (B),J - Antiinfectives for systemic use
Aescin in Horse Chestnut,
2.5% Oral minoxidil,D - Dermatologicals
2.5% Oral minoxidil,C - Cardiovascular system
omacetaxine mepesuccinate,L - Antineoplastic and immunomodulating agents
ceramide eos,
Fingolimod Hydrochloride,L - Antineoplastic and immunomodulating agents
mepivacaine,N - Nervous system
baclofen 0.5 MG/ML,M - Musculo-skeletal system
Baxdrostat and dapagliflozin,
Adze1.C,
2-tert-butylhydroquinone,
olutasidenib 150 MG,L - Antineoplastic and immunomodulating agents
ceramide 3,
"Finerenone (Kerendia, BAY948862)",C - Cardiovascular system
meperidine,N - Nervous system
baclofen,M - Musculo-skeletal system
Bavencio,L - Antineoplastic and immunomodulating agents
Advil Liqui-gels (Reference Product),
2-pyrrolidone,
olutasidenib,L - Antineoplastic and immunomodulating agents
ceramide 2,
Finerenone (BAY,C - Cardiovascular system
menthyl salicylate,
bacitracin,S - Sensory organs
bacitracin,D - Dermatologicals
bacitracin,J - Antiinfectives for systemic use
bacitracin,R - Respiratory system
Basal insulin analogues,
Advate,B - Blood and blood forming organs
2-phenylethanol rose scent,
propylparaben,
diphenhydramine,M - Musculo-skeletal system
diphenhydramine,D - Dermatologicals
diphenhydramine,N - Nervous system
diphenhydramine,R - Respiratory system
Chemotherapy drug,
